                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80538,                 1.4244,                 1.8192,                0.98931,                0.77832,                0.45235,                0.52622,                0.43343,                 0.7768,                0.46302,                0.53732,                0.38543,                0.76444,                 1.6638,                  1.288,                0.89541,                  4e-05,                  4e-05,                  4e-05
                      2,                0.65056,                 1.0422,                 1.0789,                0.92719,                0.84675,                0.53912,                0.61701,                0.48906,                0.85279,                  0.548,                0.62713,                0.42808,                0.83797,                 1.9666,                  1.184,                0.91323,               9.34e-05,               9.34e-05,               9.34e-05
                      3,                0.61604,                0.93733,                0.72587,                0.90952,                0.86263,                0.61637,                0.67842,                0.53305,                 0.8615,                0.61054,                0.67278,                0.45539,                 0.8318,                 2.0595,                0.75088,                0.91649,             0.00013888,             0.00013888,             0.00013888
                      4,                0.58917,                 0.8482,                0.64894,                0.88358,                0.86563,                0.62316,                0.69095,                0.54376,                0.83456,                0.63229,                0.69184,                0.45133,                0.76799,                 2.0498,                 1.0261,                0.88923,             0.00017644,             0.00017644,             0.00017644
                      5,                0.50123,                0.60238,                0.53016,                0.85336,                0.86639,                0.64567,                0.69638,                0.54345,                0.87369,                0.63585,                 0.6992,                0.47689,                 0.8193,                 2.1296,                 0.9828,                0.89854,             0.00020608,             0.00020608,             0.00020608
                      6,                0.51045,                0.75608,                0.65525,                0.85596,                0.86294,                0.62589,                0.68429,                0.52249,                0.85036,                0.61949,                0.67937,                0.45015,                0.82715,                  2.195,                0.67065,                0.90967,              0.0002278,              0.0002278,              0.0002278
                      7,                0.53755,                0.76633,                0.73978,                0.86672,                0.83035,                0.59527,                0.66669,                0.51925,                0.84474,                0.57657,                0.65466,                0.42804,                0.76995,                 2.1812,                0.70395,                0.89088,              0.0002416,              0.0002416,              0.0002416
                      8,                0.46863,                0.68008,                0.62583,                0.84487,                0.82884,                0.63158,                 0.6849,                0.55179,                0.83765,                0.60811,                0.67399,                0.44705,                0.71173,                 2.1011,                0.76421,                0.87665,             0.00024748,             0.00024748,             0.00024748
                      9,                0.49985,                 0.7175,                0.54773,                0.83966,                0.89301,                0.63727,                0.70918,                0.56752,                0.87649,                0.62447,                0.69569,                0.45809,                0.73945,                 2.0812,                0.60708,                0.88531,             0.00024544,             0.00024544,             0.00024544
                     10,                0.45081,                0.63307,                0.50366,                 0.8458,                0.88237,                0.64083,                0.70405,                0.56046,                0.87158,                0.62755,                0.69482,                0.46095,                0.76002,                  2.103,                0.58381,                0.88924,             0.00023548,             0.00023548,             0.00023548
                     11,                0.42225,                 0.6788,                 0.6568,                0.84057,                 0.8499,                0.63229,                0.69136,                0.54627,                0.83975,                0.61807,                 0.6772,                 0.4472,                0.77603,                 2.3357,                0.63857,                0.88812,              0.0002176,              0.0002176,              0.0002176
                     12,                0.45269,                 0.5865,                0.47999,                0.83446,                0.85736,                0.62416,                0.68973,                0.54929,                 0.8465,                0.61185,                0.67403,                0.44922,                 0.7706,                 2.3739,                0.64108,                0.88867,              0.0001918,              0.0001918,              0.0001918
                     13,                 0.4087,                0.54568,                0.42265,                0.82398,                0.85145,                0.62945,                0.69406,                0.55222,                0.84173,                0.61593,                0.68316,                0.45243,                0.77381,                 2.3895,                0.67435,                0.88539,             0.00015808,             0.00015808,             0.00015808
                     14,                0.46188,                 0.6223,                0.43548,                0.82233,                0.86519,                0.62731,                 0.6978,                0.55676,                0.86109,                0.61285,                0.68557,                0.45307,                0.76317,                 2.2431,                0.65049,                0.88429,             0.00011644,             0.00011644,             0.00011644
                     15,                0.45552,                0.58941,                0.43874,                0.83519,                0.87789,                0.63405,                0.70279,                0.56408,                0.87039,                 0.6138,                 0.6874,                0.44931,                  0.746,                 2.0968,                0.59839,                0.88415,              6.688e-05,              6.688e-05,              6.688e-05
