                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4143,                  5.083,                 6.5746,                  1.477,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5108,                 3.9709,                 7.1931,                  1.182,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.6758,                 4.0872,                 5.0516,                  1.203,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3283,                 3.6156,                 5.9111,                 1.1271,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 2.3107,                 3.9248,                 3.9163,                 1.1472,                0.01777,                0.03293,                0.00757,                 0.0049,                0.01333,                0.05988,                0.00791,                0.00265,                 2.1603,                 3.3513,                 4.0628,                 1.0737,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                  2.274,                 3.4205,                  2.835,                 1.0274,                0.31974,                 0.1497,                0.11034,                0.05412,                0.30404,                0.12275,                0.09587,                0.03208,                 2.0138,                 2.8401,                 2.8953,                0.99739,             0.00013168,             0.00013168,             0.00013168
                      5,                 2.0331,                 2.8242,                 2.2253,                0.96244,                0.43082,                0.22754,                0.19278,                0.08591,                0.39914,                0.22276,                0.17222,                0.06033,                 2.0228,                 2.5063,                 3.0906,                0.96054,             0.00016574,             0.00016574,             0.00016574
                      6,                 2.1056,                 2.6792,                 2.0277,                0.96433,                0.34236,                0.26341,                 0.1946,                0.07754,                0.41496,                0.27246,                0.21017,                0.06706,                 2.1654,                 2.5407,                 3.0079,                 0.9463,             0.00019822,             0.00019822,             0.00019822
                      7,                 2.2429,                 3.6145,                 2.2971,                0.94483,                0.43486,                0.24882,                0.24927,                 0.0982,                0.26364,                0.32934,                0.17518,                0.05573,                 2.0185,                 2.7924,                 3.2609,                0.91004,             0.00022911,             0.00022911,             0.00022911
                      8,                 1.9739,                  2.509,                  1.705,                0.92792,                 0.4103,                0.32498,                 0.3033,                0.11707,                0.28386,                0.25449,                0.17051,                0.05483,                 1.9699,                 2.8901,                 3.4185,                0.89018,             0.00025842,             0.00025842,             0.00025842
                      9,                 1.9383,                 2.5376,                 1.4916,                0.90948,                0.43207,                0.36826,                0.31729,                0.12172,                0.23531,                0.35928,                0.18506,                0.05754,                 1.9708,                 2.8163,                 4.0319,                0.88425,             0.00028614,             0.00028614,             0.00028614
                     10,                 1.9191,                 2.4706,                 1.4859,                0.90666,                0.43557,                0.38623,                0.33187,                0.12345,                0.29974,                0.30372,                0.20984,                0.05678,                 1.9533,                 2.8136,                 4.8617,                0.87997,             0.00031228,             0.00031228,             0.00031228
                     11,                 2.0888,                 2.8506,                 1.6627,                0.91162,                0.41472,                0.39222,                0.36735,                 0.1343,                0.29321,                 0.3024,                0.20508,                 0.0563,                 1.9235,                 2.8815,                 5.0153,                0.88012,             0.00033684,             0.00033684,             0.00033684
                     12,                 1.6631,                 2.2292,                 1.2665,                0.90061,                0.45055,                0.41317,                0.36601,                0.13254,                0.29906,                0.30838,                0.21591,                0.06295,                 1.9119,                 2.9419,                 4.6658,                0.88287,             0.00035981,             0.00035981,             0.00035981
                     13,                 1.8823,                 2.3052,                  1.424,                0.90578,                 0.4665,                0.39531,                0.36962,                0.14352,                0.26679,                0.30539,                0.20463,                0.06604,                 1.9163,                   2.97,                 3.4037,                0.88208,              0.0003812,              0.0003812,              0.0003812
                     14,                 1.8648,                   2.13,                 1.3029,                0.87916,                0.43889,                0.41617,                0.37449,                0.14084,                0.28996,                0.31437,                0.21812,                0.05824,                 1.9506,                 3.0099,                 3.5762,                0.88239,               0.000401,               0.000401,               0.000401
                     15,                 1.6634,                  2.122,                 1.3234,                0.90785,                0.43912,                0.38623,                0.36416,                0.13769,                0.31247,                0.30539,                0.21931,                0.06163,                 2.0087,                 3.1866,                 4.0389,                0.88697,             0.00041922,             0.00041922,             0.00041922
                     16,                 1.9059,                 2.7697,                 1.4358,                0.87986,                0.48501,                0.37425,                0.36318,                0.13891,                0.35426,                0.30838,                 0.2314,                0.06873,                 1.9893,                 3.1042,                 3.4229,                0.89121,             0.00043586,             0.00043586,             0.00043586
                     17,                 1.8304,                 2.3732,                 1.2997,                0.88177,                0.54387,                0.38623,                0.40769,                0.15831,                0.47287,                0.33832,                0.29972,                0.08231,                 1.9477,                 2.8996,                 2.4911,                0.88834,             0.00045091,             0.00045091,             0.00045091
                     18,                 1.6619,                 2.0817,                 1.1686,                0.86864,                0.54579,                0.40719,                0.42895,                0.17892,                0.44404,                0.32934,                0.31293,                0.08421,                 1.9144,                 2.9035,                 2.0581,                0.88457,             0.00046438,             0.00046438,             0.00046438
                     19,                 1.8417,                 2.1795,                 1.2461,                0.86831,                0.47243,                0.47605,                0.43906,                  0.183,                0.42116,                0.31737,                0.29535,                0.08652,                 1.8926,                 2.8812,                  1.832,                0.88582,             0.00047626,             0.00047626,             0.00047626
                     20,                 1.7677,                 2.0749,                 1.2084,                0.88797,                0.62425,                0.38024,                0.42569,                0.18025,                0.44096,                0.35329,                0.33155,                0.09396,                 1.8951,                 2.8116,                 1.6104,                0.88722,             0.00048656,             0.00048656,             0.00048656
