                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1621,                 4.9653,                 4.0908,                 1.3131,                0.00067,                0.00299,                0.00034,                0.00013,                0.00067,                0.00299,                0.00034,                 0.0002,                 2.3756,                 4.1839,                 4.1613,                 1.1497,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.0539,                 4.6244,                 4.0937,                 1.2578,                0.00067,                0.00299,                0.00034,                0.00013,                0.00067,                0.00299,                0.00034,                 0.0002,                  2.364,                 4.2358,                 4.1826,                 1.1517,             5.9604e-05,             5.9604e-05,             5.9604e-05
                      3,                 2.5253,                 4.5973,                 3.9937,                  1.172,                0.00067,                0.00299,                0.00034,                0.00013,                0.00067,                0.00299,                0.00034,                0.00024,                 2.3769,                 4.2428,                  4.186,                 1.1578,              9.868e-05,              9.868e-05,              9.868e-05
                      4,                 2.3587,                 3.8556,                 3.9145,                 1.2091,                0.42354,                0.13473,                0.14079,                0.06908,                0.37718,                0.13772,                0.13077,                0.05267,                 1.9368,                 3.2896,                 2.1545,                0.98365,             0.00013723,             0.00013723,             0.00013723
                      5,                 2.3557,                 3.8957,                 2.8838,                 1.0566,                0.21994,                 0.1874,                0.11593,                0.04566,                0.25238,                0.21257,                0.14186,                0.04134,                 1.9222,                  2.737,                 3.1666,                0.93882,             0.00017525,             0.00017525,             0.00017525
                      6,                 1.8915,                  2.624,                 3.4861,                0.98562,                0.51939,                0.36826,                0.34847,                0.14306,                 0.4587,                0.32635,                0.27642,                0.07697,                 1.9486,                 2.7526,                 1.9851,                0.91497,             0.00021274,             0.00021274,             0.00021274
                      7,                 1.9934,                 2.7741,                   1.85,                0.95659,                0.16145,                0.33832,                0.09673,                0.03638,                0.19086,                 0.4491,                0.13945,                0.05979,                 2.1782,                 3.0164,                    inf,                0.95144,              0.0002497,              0.0002497,              0.0002497
                      8,                 1.8326,                 2.3343,                 1.5996,                0.91622,                0.09321,                0.38922,                0.07449,                0.03128,                0.08825,                0.35928,                0.07285,                0.02874,                 1.7866,                 3.1402,                 77.385,                0.89366,             0.00028614,             0.00028614,             0.00028614
                      9,                 1.7893,                  2.503,                   1.51,                0.89021,                0.13566,                0.43713,                0.10083,                0.04351,                0.10176,                0.37126,                0.07488,                0.02598,                 1.8819,                  2.887,                    inf,                0.89744,             0.00032205,             0.00032205,             0.00032205
                     10,                 1.8936,                  2.577,                 1.4364,                0.89554,                0.16623,                0.45509,                0.11894,                0.04839,                0.13925,                 0.4012,                0.09464,                0.02983,                 1.8846,                 2.9374,                    inf,                0.89273,             0.00035743,             0.00035743,             0.00035743
                     11,                 1.7755,                 2.4559,                 1.3443,                0.87636,                0.14999,                 0.4491,                0.11312,                0.04799,                0.13113,                0.50299,                0.10639,                0.04132,                 1.9549,                 2.7262,                    inf,                0.90968,             0.00039228,             0.00039228,             0.00039228
                     12,                 1.8981,                  2.471,                 1.2997,                0.89016,                0.11875,                0.47305,                 0.0875,                0.03758,                0.11992,                 0.4961,                0.09179,                0.03394,                 1.9464,                 3.5041,                    inf,                0.91318,              0.0004266,              0.0004266,              0.0004266
                     13,                 1.8448,                 2.3553,                 1.6388,                0.89581,                0.13222,                0.47671,                0.10145,                0.04352,                0.12593,                0.44517,                0.09616,                0.03481,                    1.9,                 50.326,                    inf,                0.91717,              0.0004604,              0.0004604,              0.0004604
