                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2009,                 4.9269,                 4.8412,                 1.3696,                0.00467,                0.02096,                0.00253,                0.00148,                  0.004,                0.01796,                0.00218,                0.00133,                 2.2844,                 4.2359,                  3.976,                  1.162,                  2e-05,                  2e-05,                  2e-05
                      2,                  2.984,                 4.6953,                 4.8573,                 1.2798,                0.00467,                0.02096,                0.00249,                0.00148,                  0.004,                0.01796,                0.00215,                0.00126,                 2.2908,                 4.2898,                 3.9866,                 1.1623,             5.9604e-05,             5.9604e-05,             5.9604e-05
                      3,                 2.7827,                 4.3931,                 4.2166,                 1.2433,                0.00333,                0.01497,                0.00182,                0.00125,                  0.004,                0.01796,                0.00216,                0.00127,                 2.2766,                 4.2893,                  3.993,                 1.1599,              9.868e-05,              9.868e-05,              9.868e-05
                      4,                 2.4562,                 3.9396,                  4.046,                 1.2357,                0.24564,                0.08084,                0.07658,                0.04216,                0.23119,                0.07784,                0.07544,                0.03179,                  1.924,                 3.5784,                 2.3316,                 1.0422,             0.00013723,             0.00013723,             0.00013723
                      5,                 2.3851,                 4.1696,                 2.8603,                 1.0845,                0.42701,                0.14726,                0.13372,                0.06562,                0.43308,                0.15569,                0.13899,                0.04774,                  1.885,                 2.9446,                 2.6363,                0.96511,             0.00017525,             0.00017525,             0.00017525
                      6,                  1.981,                 2.6082,                  2.179,                 1.0002,                0.44928,                0.28743,                0.28227,                0.12449,                0.44206,                0.28144,                 0.2512,                0.08155,                 1.8918,                 2.8712,                 1.5637,                0.91347,             0.00021274,             0.00021274,             0.00021274
                      7,                 1.9242,                 3.0538,                 1.9778,                0.95362,                0.51355,                0.29641,                0.30299,                0.12566,                0.34346,                0.36228,                0.29473,                0.10643,                 1.9477,                 3.0884,                 2.2387,                0.92022,              0.0002497,              0.0002497,              0.0002497
                      8,                 1.8003,                 2.4962,                 1.6892,                0.91847,                0.47864,                0.34731,                0.30704,                0.12396,                0.45341,                0.35928,                 0.2908,                0.08857,                 1.9835,                 3.1379,                 2.8149,                0.91855,             0.00028614,             0.00028614,             0.00028614
                      9,                 1.9615,                 2.7399,                 1.6337,                0.92386,                0.40252,                0.38623,                0.25617,                0.10065,                0.26523,                0.26347,                0.13414,                0.04061,                 1.9224,                  3.309,                 33.884,                0.88718,             0.00032205,             0.00032205,             0.00032205
                     10,                 1.9692,                 2.8754,                 1.5847,                0.90958,                0.38429,                0.34431,                0.23468,                0.09428,                0.21866,                0.29641,                0.13728,                0.04585,                 1.9479,                 3.1947,                 40.807,                0.88852,             0.00035743,             0.00035743,             0.00035743
