                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6105,                 5.0769,                 7.2288,                 1.4896,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5842,                 4.4051,                 7.9602,                    1.2,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.2548,                 5.1838,                 7.1505,                 1.3807,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5672,                  4.462,                 8.1943,                 1.2075,             5.9604e-05,             5.9604e-05,             5.9604e-05
                      3,                 2.9365,                 4.7498,                 6.1921,                  1.264,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  2.535,                 4.5268,                 8.4256,                 1.2046,              9.868e-05,              9.868e-05,              9.868e-05
                      4,                 2.5646,                 4.0476,                 5.4471,                 1.2636,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3267,                 4.3416,                 6.7435,                 1.1619,             0.00013723,             0.00013723,             0.00013723
                      5,                 2.8476,                 4.4048,                 4.8306,                  1.212,                0.05054,                0.04491,                0.01006,                0.00602,                0.04074,                0.03293,                0.00989,                0.00465,                 2.1846,                 3.9661,                 4.4277,                 1.1064,             0.00017525,             0.00017525,             0.00017525
                      6,                 2.1939,                 2.9756,                   2.88,                 1.0713,                0.30248,                0.16467,                0.12403,                0.05536,                0.28032,                0.18862,                0.13175,                 0.0428,                 2.0326,                 2.8319,                 4.1297,                 1.0083,             0.00021274,             0.00021274,             0.00021274
                      7,                 2.3431,                 3.2907,                 2.5848,                 1.0424,                0.38414,                0.22156,                0.18087,                0.07079,                0.36492,                0.26946,                0.19361,                0.06651,                 2.0657,                 2.8243,                 4.3628,                0.96457,              0.0002497,              0.0002497,              0.0002497
                      8,                 1.9628,                 2.6061,                 1.9527,                0.94182,                0.25431,                0.22156,                0.18143,                0.06096,                0.34266,                 0.2994,                0.26697,                0.10992,                 2.3741,                 3.0992,                 4.8353,                0.95548,             0.00028614,             0.00028614,             0.00028614
                      9,                  2.162,                 2.9558,                 2.1046,                0.95485,                 0.3419,                0.26048,                0.22381,                0.08554,                0.37912,                0.29341,                0.26454,                 0.0897,                 2.2098,                 3.0642,                 4.6192,                 0.9283,             0.00032205,             0.00032205,             0.00032205
                     10,                  2.179,                 3.1115,                 1.8685,                0.95104,                0.47097,                0.32635,                0.29876,                0.11247,                0.30915,                 0.2994,                0.21615,                0.06915,                  2.022,                 2.9486,                 4.4838,                0.90507,             0.00035743,             0.00035743,             0.00035743
