                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6105,                 5.0769,                 7.2288,                 1.4896,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5842,                 4.4051,                 7.9602,                    1.2,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.2548,                 5.1838,                 7.1505,                 1.3807,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5672,                  4.462,                 8.1943,                 1.2075,             5.9881e-05,             5.9881e-05,             5.9881e-05
                      3,                 2.9365,                 4.7498,                 6.1921,                  1.264,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  2.535,                 4.5268,                 8.4256,                 1.2046,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      4,                 2.5646,                 4.0476,                 5.4471,                 1.2636,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3276,                 4.3436,                 6.7753,                 1.1632,             0.00013917,             0.00013917,             0.00013917
                      5,                 2.8535,                 4.3947,                 4.8316,                 1.2116,                0.05105,                0.04192,                0.01049,                0.00629,                0.04815,                0.03892,                0.01024,                0.00504,                 2.1771,                 3.9701,                 4.3882,                 1.1054,             0.00017857,             0.00017857,             0.00017857
                      6,                 2.2275,                  2.965,                 2.8581,                 1.0753,                0.33207,                0.14671,                0.11405,                0.05211,                 0.2615,                0.17493,                0.11783,                0.04048,                 2.0498,                  2.795,                 4.6189,                 1.0113,             0.00021782,             0.00021782,             0.00021782
                      7,                 2.3548,                 3.2779,                 2.6383,                 1.0409,                0.34485,                0.23324,                0.16909,                0.06827,                0.39095,                0.26048,                0.20368,                0.07414,                 2.0875,                  2.799,                 5.0245,                0.96429,             0.00025691,             0.00025691,             0.00025691
                      8,                 1.9668,                 2.6565,                 1.9771,                0.94172,                0.20835,                0.24551,                0.16031,                0.05116,                0.26918,                0.31138,                0.23109,                0.09511,                 2.3727,                 3.0734,                 7.1137,                0.96503,             0.00029584,             0.00029584,             0.00029584
                      9,                 2.1161,                 2.9447,                 2.0398,                0.94747,                0.35299,                0.32036,                0.20455,                0.07254,                0.29709,                0.30838,                0.19087,                0.06705,                 2.1623,                 3.0474,                 6.6555,                0.93225,             0.00033461,             0.00033461,             0.00033461
                     10,                 2.1445,                 3.0664,                 1.8719,                0.95097,                0.38983,                0.34431,                0.28433,                0.11071,                0.30659,                0.27545,                0.20262,                0.06529,                 2.0056,                 2.8442,                 6.9007,                0.90068,             0.00037323,             0.00037323,             0.00037323
                     11,                 1.9228,                 2.4456,                  1.707,                0.90655,                0.44353,                0.32335,                0.29865,                0.11459,                 0.3555,                0.27246,                0.21746,                0.06166,                 1.9827,                 2.6979,                 5.4362,                0.89933,             0.00041168,             0.00041168,             0.00041168
                     12,                 2.0443,                 2.7991,                 1.5727,                0.91643,                0.47105,                0.35329,                0.30957,                0.11413,                0.41516,                0.31138,                0.24955,                0.07576,                 1.9727,                 2.6862,                 4.1932,                0.89518,             0.00044998,             0.00044998,             0.00044998
                     13,                 1.9545,                 2.6521,                 1.6111,                0.90387,                0.49176,                0.36228,                 0.3301,                 0.1275,                0.46138,                0.34731,                0.30095,                0.09023,                  1.967,                 2.8439,                 3.3592,                0.88616,             0.00048812,             0.00048812,             0.00048812
                     14,                 1.9583,                  2.558,                 1.5208,                0.91882,                0.40868,                0.38024,                0.32861,                0.13823,                0.32965,                0.36228,                0.24827,                 0.0816,                 1.9549,                 2.8757,                 3.8149,                 0.8819,              0.0005261,              0.0005261,              0.0005261
                     15,                 1.6193,                  2.104,                  1.273,                0.88229,                0.44806,                0.34132,                0.32166,                0.12276,                0.34639,                0.32052,                0.25963,                0.08531,                  1.986,                 2.9286,                 3.9945,                0.88698,             0.00056392,             0.00056392,             0.00056392
                     16,                 2.0544,                 2.9029,                 1.5341,                0.90069,                0.41681,                0.34731,                0.27207,                0.09993,                0.29629,                0.37725,                0.22842,                0.08282,                 2.0536,                   3.02,                 4.1444,                0.89742,             0.00060159,             0.00060159,             0.00060159
                     17,                 1.8205,                 2.0842,                 1.4695,                0.88865,                0.35605,                0.36527,                0.23952,                0.08782,                0.29008,                0.41617,                0.21628,                0.07517,                 2.1306,                 3.1146,                 5.3863,                0.90359,             0.00063909,             0.00063909,             0.00063909
                     18,                 1.9218,                 2.4599,                 1.5911,                0.87541,                0.36185,                0.38323,                0.24806,                0.09352,                0.28737,                0.39222,                0.21913,                0.07589,                 2.0717,                 2.8792,                 5.1495,                0.89833,             0.00067644,             0.00067644,             0.00067644
