                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9676,                 4.6986,                 4.2731,                 1.2925,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2652,                 4.0377,                 3.9291,                 1.1001,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.9042,                 4.4503,                 4.2233,                 1.1941,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2407,                 4.0873,                 3.9508,                 1.0992,             5.9881e-05,             5.9881e-05,             5.9881e-05
                      3,                 2.4598,                 4.0186,                 4.1148,                  1.112,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2298,                 4.0705,                 3.9593,                 1.1003,             9.9604e-05,             9.9604e-05,             9.9604e-05
                      4,                 2.3495,                 3.7631,                 4.1454,                 1.2095,                0.32826,                0.13772,                0.10582,                0.05327,                0.26722,                0.15269,                 0.1118,                0.04718,                  2.098,                 3.2579,                 2.5219,                0.97161,             0.00013917,             0.00013917,             0.00013917
                      5,                 2.2873,                 3.7703,                 4.6654,                 1.0137,                 0.0708,                0.14671,                0.03697,                0.01536,                0.05174,                0.22156,                0.04153,                0.01377,                 2.0852,                 3.2397,                 3.2717,                0.95541,             0.00017857,             0.00017857,             0.00017857
                      6,                   2.02,                 2.6643,                 3.2548,                 1.0006,                0.11351,                0.32036,                0.07941,                0.03381,                0.08758,                 0.3024,                0.06187,                0.01724,                 2.0256,                 2.9742,                  5.421,                0.90862,             0.00021782,             0.00021782,             0.00021782
                      7,                 1.9378,                   2.79,                 2.0023,                0.94353,                0.05612,                0.24251,                0.03456,                0.01599,                0.08283,                0.34132,                0.06021,                0.03149,                 2.0248,                 3.5126,                    inf,                0.91988,             0.00025691,             0.00025691,             0.00025691
                      8,                 1.7717,                 2.5187,                 1.9674,                0.90636,                0.05602,                0.24251,                 0.0345,                0.01546,                  0.066,                0.29641,                0.04324,                 0.0203,                    nan,                 195.62,                    nan,                    nan,             0.00029584,             0.00029584,             0.00029584
                      9,                   1.89,                 2.3662,                 1.8992,                0.90763,                0.10899,                 0.4012,                 0.0778,                0.03394,                0.09489,                0.35659,                0.06447,                 0.0238,                    nan,                    nan,                    nan,                    nan,             0.00033461,             0.00033461,             0.00033461
                     10,                 1.9694,                 2.6057,                 1.5289,                0.90301,                0.17432,                0.50898,                0.13345,                0.05918,                0.15592,                0.42814,                0.11039,                0.03433,                    nan,                    nan,                    nan,                    nan,             0.00037323,             0.00037323,             0.00037323
