                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68417,                 1.4261,                 2.8451,                 1.0103,                0.09649,                0.34436,                0.07431,                0.05761,                0.10181,                0.36334,                0.08047,                 0.0563,                0.64551,                 1.3827,                  3.613,                0.92892,                  8e-05,                  8e-05,                  8e-05
                      2,                0.71133,                 1.4107,                 2.5035,                 1.0453,                 0.8282,                0.65618,                0.67056,                0.53516,                0.83915,                0.66486,                0.67912,                0.44646,                0.61179,                 1.5919,                    inf,                0.94627,             0.00017964,             0.00017964,             0.00017964
                      3,                0.59345,                0.95431,                 0.7998,                0.94437,                0.77233,                0.62364,                0.57846,                 0.4699,                0.77636,                 0.6269,                0.57826,                0.39961,                0.61994,                 1.6754,                    inf,                0.88933,             0.00027889,             0.00027889,             0.00027889
                      4,                0.53119,                0.77795,                0.65882,                0.90615,                0.70723,                0.67137,                 0.6544,                0.51086,                0.87194,                0.50217,                0.65474,                0.45631,                0.69549,                 1.6611,                    inf,                0.91125,             0.00037774,             0.00037774,             0.00037774
                      5,                0.50519,                0.68541,                0.56378,                0.88494,                 0.8389,                0.71475,                 0.7286,                0.56031,                0.90244,                0.62202,                0.72743,                0.50002,                0.69987,                 1.4844,                    inf,                0.90704,              0.0004762,              0.0004762,              0.0004762
                      6,                0.49025,                0.66001,                0.51711,                0.88758,                0.82392,                 0.7397,                0.76351,                0.60196,                0.83707,                0.72017,                0.75882,                0.52868,                0.68106,                 1.9815,                 1.8247,                0.91908,             0.00057426,             0.00057426,             0.00057426
                      7,                0.49745,                 0.6659,                0.54748,                0.89528,                0.77401,                0.76681,                0.75613,                0.56352,                0.77573,                0.76342,                0.76651,                0.53181,                 0.7774,                 2.1421,                 2.4677,                0.96161,             0.00067192,             0.00067192,             0.00067192
                      8,                0.51538,                0.71584,                0.58445,                0.90155,                0.76544,                0.71095,                0.68699,                 0.5271,                0.76586,                0.69957,                0.68727,                0.47285,                0.75018,                 2.1077,                 1.5557,                0.98096,             0.00076919,             0.00076919,             0.00076919
                      9,                0.48692,                0.66686,                0.55525,                 0.8856,                0.81369,                0.73373,                0.76188,                0.56101,                0.82332,                 0.7115,                0.75178,                0.48429,                0.88094,                 2.7716,                 1.4377,                0.98986,             0.00086606,             0.00086606,             0.00086606
                     10,                0.48912,                0.64106,                0.50496,                0.89382,                0.77918,                0.68697,                0.70862,                0.53984,                0.79402,                0.65998,                 0.6947,                0.46043,                0.75239,                 2.6941,                 1.4326,                0.96001,             0.00096254,             0.00096254,             0.00096254
                     11,                0.51614,                0.70354,                0.48965,                0.87357,                0.70462,                0.70282,                0.68982,                0.51633,                0.70368,                0.69902,                0.68418,                0.45744,                0.76371,                 2.7114,                 2.0762,                0.96864,              0.0010586,              0.0010586,              0.0010586
                     12,                0.50968,                0.66439,                0.47114,                 0.8808,                0.58591,                 0.7115,                0.50617,                0.38213,                0.58008,                0.70282,                 0.4979,                0.33095,                 0.7955,                  2.251,                 2.0426,                0.99183,              0.0011543,              0.0011543,              0.0011543
                     13,                0.52499,                 0.7126,                0.47207,                0.87824,                0.53505,                0.71095,                0.45218,                0.33036,                0.52784,                0.69598,                0.43822,                 0.2888,                0.83676,                 2.9262,                    inf,                0.99568,              0.0012496,              0.0012496,              0.0012496
                     14,                0.52936,                0.68879,                0.47751,                0.88769,                0.38716,                0.72289,                0.32991,                0.23578,                0.38245,                0.70282,                0.32281,                0.22061,                0.86227,                 2.7774,                    inf,                 1.0313,              0.0013445,              0.0013445,              0.0013445
                     15,                0.51657,                0.71053,                0.49748,                0.90138,                0.25849,                0.60609,                0.20532,                0.14652,                0.25807,                 0.5987,                0.20287,                0.12909,                0.98747,                 3.7811,                    inf,                 1.1312,               0.001439,               0.001439,               0.001439
                     16,                0.51602,                0.74535,                0.49851,                0.89866,                0.33993,                0.70065,                0.28882,                0.21649,                0.33477,                 0.6795,                 0.2819,                0.18614,                0.83681,                 3.4738,                    inf,                 1.0329,              0.0015331,              0.0015331,              0.0015331
                     17,                0.57203,                0.79442,                0.61932,                0.91056,                0.73794,                0.73156,                0.72933,                0.52634,                0.73247,                0.72614,                0.72282,                 0.4871,                0.91668,                 3.0684,                 2.0032,                 1.0392,              0.0016268,              0.0016268,              0.0016268
                     18,                0.53857,                0.69823,                0.54077,                0.89621,                  0.786,                0.66866,                0.70803,                0.51121,                0.77115,                0.65347,                0.69096,                0.42368,                0.91621,                  3.403,                 1.4913,                 1.0665,              0.0017201,              0.0017201,              0.0017201
